antibiotic,auroc,f1,split,order_name,hamming_loss,jaccard_score,all_zero_frac,seed
Ciprofloxacin,0.7844221513168569,0.3867924528301887,random_seed7,misseeded_ciprofloxacin,0.15834896810506566,0.5270012507817385,0.16135084427767354,7
Erythromycin,0.7192656139285353,0.15,random_seed7,misseeded_ciprofloxacin,0.15834896810506566,0.5270012507817385,0.16135084427767354,7
Clindamycin,0.5899049469751747,0.15757575757575756,random_seed7,misseeded_ciprofloxacin,0.15834896810506566,0.5270012507817385,0.16135084427767354,7
Oxacillin,0.8971631205673759,0.6238532110091743,random_seed7,misseeded_ciprofloxacin,0.15834896810506566,0.5270012507817385,0.16135084427767354,7
Penicillin,0.7404870929734362,0.8311377245508982,random_seed7,misseeded_ciprofloxacin,0.15834896810506566,0.5270012507817385,0.16135084427767354,7
Ciprofloxacin,0.7844221513168569,0.3867924528301887,random_seed7,misseeded_cipro_pen2,0.15384615384615385,0.5527517198248906,0.10881801125703565,7
Penicillin,0.7525082119394458,0.8447276940903824,random_seed7,misseeded_cipro_pen2,0.15384615384615385,0.5527517198248906,0.10881801125703565,7
Erythromycin,0.7192656139285353,0.15,random_seed7,misseeded_cipro_pen2,0.15384615384615385,0.5527517198248906,0.10881801125703565,7
Clindamycin,0.5899049469751747,0.15757575757575756,random_seed7,misseeded_cipro_pen2,0.15384615384615385,0.5527517198248906,0.10881801125703565,7
Oxacillin,0.902229744251021,0.672463768115942,random_seed7,misseeded_cipro_pen2,0.15384615384615385,0.5527517198248906,0.10881801125703565,7
Penicillin,0.7213376367222522,0.8239355581127733,random_seed8,option_a,0.16022514071294558,0.5481081926203877,0.10131332082551595,8
Erythromycin,0.7010847755204415,0.12060301507537688,random_seed8,option_a,0.16022514071294558,0.5481081926203877,0.10131332082551595,8
Clindamycin,0.5382766981507618,0.14201183431952663,random_seed8,option_a,0.16022514071294558,0.5481081926203877,0.10131332082551595,8
Oxacillin,0.8969461167328466,0.7082152974504249,random_seed8,option_a,0.16022514071294558,0.5481081926203877,0.10131332082551595,8
Ciprofloxacin,0.7274417284084149,0.3961352657004831,random_seed8,option_a,0.16022514071294558,0.5481081926203877,0.10131332082551595,8
Oxacillin,0.9001857307544512,0.6894586894586895,random_seed8,misseeded_oxacillin,0.15928705440900562,0.5288774233896185,0.16604127579737335,8
Erythromycin,0.6829947328818661,0.1743119266055046,random_seed8,misseeded_oxacillin,0.15928705440900562,0.5288774233896185,0.16604127579737335,8
Clindamycin,0.5469619657655701,0.17204301075268819,random_seed8,misseeded_oxacillin,0.15928705440900562,0.5288774233896185,0.16604127579737335,8
Penicillin,0.7451138604984759,0.8328340323547034,random_seed8,misseeded_oxacillin,0.15928705440900562,0.5288774233896185,0.16604127579737335,8
Ciprofloxacin,0.7284219349954032,0.3804878048780488,random_seed8,misseeded_oxacillin,0.15928705440900562,0.5288774233896185,0.16604127579737335,8
Ciprofloxacin,0.7919663620139528,0.3904761904761905,random_seed8,misseeded_ciprofloxacin,0.15816135084427768,0.5277048155096935,0.16791744840525327,8
